ticket_id,subject,status,priority,createdate,closed_date,associated_contact_id,associated_company_id
51,Slow page load times in app,In Progress,Medium,2025-02-04,2025-03-03,559,53
52,Broken link in help center,In Progress,Medium,2025-04-26,2025-05-30,966,22
53,Custom field not saving properly,Closed,High,2025-01-13,,925,64
54,Slow page load times in app,Open,High,2025-06-17,2025-02-24,908,184
55,Slow page load times in app,Open,Low,2025-07-17,,41,284
56,Trial upgrade not processing,Open,Medium,2025-06-13,,99,60
57,Custom field not saving properly,In Progress,Medium,2025-07-08,2025-02-04,864,132
58,UI misalignment on Chrome,Open,Low,2025-04-17,2025-05-08,133,224
59,Trial upgrade not processing,Closed,Low,2025-07-14,,704,280
60,Slow page load times in app,On Hold,Low,2025-06-07,,213,138
61,Unable to log in with SSO,Open,High,2025-03-02,2025-07-20,904,195
62,API request returning 500 error,New,High,2025-08-30,2025-02-11,297,268
63,Account deactivated unexpectedly,On Hold,Medium,2025-02-12,,883,21
64,Two-factor authentication setup failing,In Progress,High,2025-05-23,,633,20
65,Broken link in help center,On Hold,Medium,2025-03-06,,228,267
66,UI misalignment on Chrome,Open,Low,2025-01-30,2025-02-28,152,14
67,Custom field not saving properly,On Hold,Low,2025-07-15,,613,31
68,Invoice not generating correctly,New,Low,2025-08-02,2025-01-03,469,213
69,Mobile app crashes on login,On Hold,Medium,2025-07-19,,514,270
70,Two-factor authentication setup failing,On Hold,Low,2025-03-28,,310,56
71,UI not loading correctly on dashboard,In Progress,Low,2025-07-04,,328,188
72,API request returning 500 error,Closed,Low,2025-03-10,,573,145
73,Trial upgrade not processing,On Hold,Medium,2025-06-20,2025-06-28,209,25
74,Two-factor authentication setup failing,On Hold,Low,2025-01-25,2025-08-19,286,83
75,UI misalignment on Chrome,In Progress,High,2025-02-08,2025-07-13,119,138
76,Custom field not saving properly,Closed,Low,2025-05-07,,308,170
77,Account deactivated unexpectedly,On Hold,High,2025-01-07,,980,243
78,Two-factor authentication setup failing,New,High,2025-03-18,2025-03-24,863,184
79,Notification emails not being sent,In Progress,High,2025-06-06,,155,223
80,Mobile app crashes on login,Closed,Low,2025-07-26,,651,64
81,Trial upgrade not processing,On Hold,Low,2025-07-22,2025-02-22,708,249
82,Broken link in help center,Open,High,2025-06-06,,16,214
83,Broken link in help center,New,Low,2025-07-18,2025-07-10,903,155
84,API request returning 500 error,Open,High,2025-02-02,,294,113
85,API request returning 500 error,In Progress,High,2025-01-22,2025-06-07,524,224
86,Unable to log in with SSO,New,Medium,2025-08-20,2025-04-11,319,63
87,Data sync delay between systems,New,High,2025-02-28,,330,95
88,Trial upgrade not processing,Open,Low,2025-05-30,,831,115
89,Slow page load times in app,In Progress,Medium,2025-01-23,,640,58
90,Invoice not generating correctly,Open,High,2025-07-27,2025-04-30,82,230
91,Unable to log in with SSO,On Hold,Low,2025-04-18,2025-04-04,999,33
92,Trial upgrade not processing,Closed,Low,2025-02-10,,73,55
93,Trial upgrade not processing,In Progress,Low,2025-08-22,,577,100
94,API request returning 500 error,On Hold,Medium,2025-03-30,2025-01-24,271,67
95,Integration with Salesforce failing,Open,Low,2025-05-13,2025-07-27,469,3
96,Workflow automation not triggering,Closed,Low,2025-07-05,,268,240
97,Unable to log in with SSO,In Progress,High,2025-02-02,,891,196
98,Notification emails not being sent,In Progress,High,2025-05-18,,511,278
99,Error exporting reports,New,Low,2025-07-05,2025-01-17,318,54
100,Duplicate records in database,Open,Medium,2025-01-07,2025-02-12,992,26
101,Account deactivated unexpectedly,Open,Medium,2025-05-23,2025-02-08,333,146
102,Slow page load times in app,Open,Medium,2025-06-05,2025-04-21,38,281
103,API request returning 500 error,New,High,2025-04-05,,646,47
104,Trial upgrade not processing,New,High,2025-05-03,2025-06-30,297,101
105,Two-factor authentication setup failing,On Hold,Low,2025-06-08,2025-01-12,99,132
106,Notification emails not being sent,In Progress,Medium,2025-07-07,2025-07-23,437,143
107,Trial upgrade not processing,New,High,2025-06-27,,86,7
108,UI not loading correctly on dashboard,On Hold,Low,2025-05-08,,381,92
109,Mobile app crashes on login,Open,Medium,2025-03-25,,99,265
110,Account deactivated unexpectedly,New,Medium,2025-01-06,,593,216
111,Error exporting reports,On Hold,Medium,2025-05-04,2025-04-05,928,123
112,Email sync not working,On Hold,Medium,2025-08-08,2025-07-29,815,288
113,UI not loading correctly on dashboard,In Progress,High,2025-05-18,2025-04-07,213,116
114,Mobile app crashes on login,On Hold,Medium,2025-05-15,2025-05-12,226,273
115,Custom field not saving properly,Open,Low,2025-02-13,2025-02-12,315,135
116,Permissions not updating for new user,Open,Low,2025-05-05,2025-03-19,174,85
117,Integration with Salesforce failing,Closed,High,2025-02-03,2025-05-16,581,111
118,Notification emails not being sent,New,Low,2025-07-24,,23,67
119,Unable to log in with SSO,New,Low,2025-06-03,,250,286
120,UI not loading correctly on dashboard,In Progress,Low,2025-04-25,2025-02-13,379,41
121,Broken link in help center,Open,Low,2025-06-15,2025-04-12,446,190
122,UI not loading correctly on dashboard,Closed,High,2025-01-04,2025-05-17,875,200
123,Broken link in help center,On Hold,Medium,2025-08-08,2025-03-31,189,27
124,Mobile app crashes on login,New,Medium,2025-02-01,,23,111
125,UI misalignment on Chrome,On Hold,Low,2025-05-02,2025-02-10,350,162
126,Workflow automation not triggering,Open,Medium,2025-04-16,,685,135
127,Workflow automation not triggering,Closed,Medium,2025-06-19,2025-03-25,559,238
128,Invoice not generating correctly,Open,Low,2025-03-23,2025-04-16,27,151
129,Broken link in help center,On Hold,Medium,2025-02-12,,880,153
130,Broken link in help center,Open,Low,2025-06-30,2025-04-03,353,182
131,Permissions not updating for new user,New,Low,2025-03-30,,75,281
132,Mobile app crashes on login,Closed,Low,2025-08-11,2025-08-11,296,4
133,UI not loading correctly on dashboard,Open,High,2025-01-10,,387,83
134,Slow page load times in app,Closed,High,2025-07-02,,496,29
135,Invoice not generating correctly,On Hold,High,2025-08-05,,88,181
136,Mobile app crashes on login,Open,High,2025-03-15,,124,108
137,Two-factor authentication setup failing,Closed,Low,2025-01-12,,217,44
138,Account deactivated unexpectedly,Closed,High,2025-01-22,2025-04-27,438,13
139,Custom field not saving properly,Closed,Low,2025-06-13,,930,15
140,Mobile app crashes on login,On Hold,High,2025-05-20,,117,69
141,Two-factor authentication setup failing,Closed,High,2025-03-30,,628,229
142,API request returning 500 error,In Progress,Medium,2025-05-30,,76,127
143,Custom field not saving properly,Closed,Low,2025-05-01,,660,20
144,Notification emails not being sent,Closed,Low,2025-05-07,2025-08-17,99,21
145,Duplicate records in database,New,Low,2025-03-14,,167,180
146,Integration with Salesforce failing,Closed,High,2025-06-28,2025-02-22,392,56
147,UI misalignment on Chrome,Open,High,2025-04-13,2025-01-10,400,147
148,Mobile app crashes on login,Closed,High,2025-02-07,,784,59
149,Invoice not generating correctly,On Hold,Medium,2025-06-21,2025-02-08,347,56
150,Broken link in help center,Closed,Medium,2025-02-14,,403,280
151,Workflow automation not triggering,Closed,High,2025-05-02,,358,299
152,Trial upgrade not processing,On Hold,Low,2025-04-16,2025-05-24,387,91
153,Trial upgrade not processing,On Hold,Low,2025-06-12,,561,26
154,UI misalignment on Chrome,On Hold,Low,2025-07-03,,623,244
155,Mobile app crashes on login,In Progress,Low,2025-08-20,,860,71
156,UI misalignment on Chrome,On Hold,Low,2025-08-22,,788,257
157,Data sync delay between systems,In Progress,Low,2025-07-22,2025-05-05,453,136
158,Error exporting reports,New,Low,2025-08-01,,691,112
159,Account deactivated unexpectedly,New,High,2025-06-13,,657,151
160,Trial upgrade not processing,On Hold,Medium,2025-03-05,2025-06-02,697,274
161,Permissions not updating for new user,In Progress,High,2025-01-26,2025-02-26,566,20
162,Slow page load times in app,Closed,Medium,2025-06-26,2025-03-19,628,160
163,Notification emails not being sent,Open,Low,2025-03-20,,298,165
164,Trial upgrade not processing,Open,High,2025-05-12,2025-05-20,493,258
165,Trial upgrade not processing,Closed,Medium,2025-03-17,2025-01-29,707,185
166,Broken link in help center,Open,High,2025-04-20,,801,52
167,Trial upgrade not processing,On Hold,Medium,2025-08-10,,742,54
168,Trial upgrade not processing,Open,High,2025-03-28,,151,208
169,API request returning 500 error,Closed,High,2025-07-17,2025-02-06,93,1
170,Data sync delay between systems,On Hold,High,2025-04-10,,457,163
171,Permissions not updating for new user,Open,Medium,2025-03-15,,78,281
172,Custom field not saving properly,Closed,Low,2025-02-25,,596,270
173,Workflow automation not triggering,New,Low,2025-08-12,2025-01-20,369,118
174,UI misalignment on Chrome,New,Low,2025-06-03,,477,263
175,Workflow automation not triggering,On Hold,Medium,2025-04-11,2025-03-08,325,228
176,Trial upgrade not processing,Closed,Low,2025-02-06,2025-03-27,84,169
177,Permissions not updating for new user,In Progress,Medium,2025-01-28,2025-01-05,197,134
178,Mobile app crashes on login,Closed,Medium,2025-01-07,,623,185
179,Trial upgrade not processing,On Hold,Low,2025-02-07,2025-02-28,438,271
180,UI misalignment on Chrome,In Progress,High,2025-08-31,2025-05-11,102,157
181,Error exporting reports,Closed,Medium,2025-04-08,,145,101
182,UI not loading correctly on dashboard,Closed,High,2025-06-22,,776,85
183,Mobile app crashes on login,Closed,High,2025-08-07,2025-02-11,370,211
184,Invoice not generating correctly,New,Medium,2025-05-16,,901,8
185,Notification emails not being sent,Closed,High,2025-02-02,2025-05-15,717,247
186,Broken link in help center,On Hold,Medium,2025-07-06,,176,196
187,Account deactivated unexpectedly,Closed,Medium,2025-01-22,,815,47
188,Error exporting reports,In Progress,Low,2025-02-09,,590,92
189,UI not loading correctly on dashboard,On Hold,High,2025-07-11,,162,174
190,Data sync delay between systems,In Progress,Low,2025-03-10,2025-04-07,321,233
191,Error exporting reports,New,Low,2025-08-19,,757,223
192,Slow page load times in app,Open,Low,2025-03-15,2025-06-15,857,36
193,Mobile app crashes on login,Open,High,2025-04-11,,974,159
194,Two-factor authentication setup failing,Closed,High,2025-08-24,,540,112
195,Notification emails not being sent,New,Low,2025-06-26,2025-04-23,589,294
196,Unable to log in with SSO,New,Low,2025-07-27,,879,190
197,Error exporting reports,In Progress,Low,2025-05-03,2025-02-24,33,167
198,Workflow automation not triggering,In Progress,Medium,2025-01-24,2025-03-29,987,5
199,Data sync delay between systems,New,Low,2025-01-31,2025-07-27,879,108
200,Mobile app crashes on login,On Hold,Medium,2025-08-27,,897,83
201,Notification emails not being sent,New,High,2025-01-03,2025-03-07,629,49
202,Unable to log in with SSO,New,Low,2025-05-13,2025-05-16,134,170
203,Unable to log in with SSO,New,High,2025-04-03,2025-07-21,481,275
204,Trial upgrade not processing,Closed,Low,2025-08-01,,406,14
205,Unable to log in with SSO,On Hold,Low,2025-01-10,2025-08-03,167,219
206,Trial upgrade not processing,Closed,Medium,2025-07-31,2025-03-27,992,133
207,API request returning 500 error,Closed,High,2025-04-05,,317,5
208,Permissions not updating for new user,In Progress,Low,2025-02-15,2025-01-20,189,165
209,Slow page load times in app,On Hold,Medium,2025-06-04,,503,261
210,Error exporting reports,New,Medium,2025-05-12,,422,195
211,Data sync delay between systems,In Progress,Medium,2025-05-07,2025-04-25,453,82
212,Unable to log in with SSO,Closed,High,2025-01-17,,735,222
213,Workflow automation not triggering,Closed,Low,2025-05-02,,344,220
214,API request returning 500 error,New,Medium,2025-08-23,2025-04-14,725,137
215,Data sync delay between systems,In Progress,Low,2025-04-13,,250,280
216,Unable to log in with SSO,New,Low,2025-05-18,2025-01-03,757,35
217,Permissions not updating for new user,Closed,Low,2025-01-28,2025-05-08,770,148
218,Mobile app crashes on login,New,Low,2025-06-02,2025-06-07,886,126
219,Invoice not generating correctly,New,Low,2025-01-04,,384,101
220,Integration with Salesforce failing,In Progress,Medium,2025-04-11,,884,148
221,Permissions not updating for new user,Closed,Low,2025-06-06,2025-07-30,265,139
222,UI misalignment on Chrome,On Hold,Medium,2025-05-31,,690,232
223,UI not loading correctly on dashboard,Closed,Medium,2025-03-21,,806,254
224,Email sync not working,Open,Low,2025-08-17,,709,283
225,Integration with Salesforce failing,New,High,2025-05-09,,640,51
226,UI not loading correctly on dashboard,In Progress,Low,2025-06-27,2025-08-03,193,146
227,Account deactivated unexpectedly,New,Medium,2025-03-09,,672,80
228,Integration with Salesforce failing,Closed,High,2025-01-15,,416,264
229,Integration with Salesforce failing,Open,High,2025-07-24,2025-04-07,946,249
230,Trial upgrade not processing,New,High,2025-06-11,2025-07-01,260,110
231,Permissions not updating for new user,On Hold,High,2025-08-27,,544,37
232,Workflow automation not triggering,In Progress,Low,2025-08-27,,822,160
233,Custom field not saving properly,In Progress,Medium,2025-01-27,2025-04-07,28,66
234,UI misalignment on Chrome,Open,High,2025-02-17,2025-03-12,569,77
235,Error exporting reports,Open,Medium,2025-02-02,2025-03-06,463,186
236,Email sync not working,Open,Medium,2025-07-12,,753,10
237,Email sync not working,On Hold,Medium,2025-04-21,,563,192
238,Two-factor authentication setup failing,Closed,Low,2025-05-20,2025-02-15,156,115
239,Trial upgrade not processing,In Progress,Low,2025-02-18,,1000,28
240,UI misalignment on Chrome,Open,Medium,2025-04-10,,719,4
241,Two-factor authentication setup failing,In Progress,Low,2025-01-05,,524,5
242,Slow page load times in app,On Hold,Medium,2025-08-31,,39,208
243,Email sync not working,In Progress,Low,2025-03-21,2025-04-10,871,91
244,Two-factor authentication setup failing,On Hold,Medium,2025-03-15,2025-04-10,177,12
245,Workflow automation not triggering,Open,Low,2025-06-02,2025-04-30,311,206
246,UI not loading correctly on dashboard,Closed,Medium,2025-01-17,,988,90
247,Trial upgrade not processing,New,Medium,2025-07-27,,637,139
248,Account deactivated unexpectedly,In Progress,Medium,2025-01-15,,813,255
249,Invoice not generating correctly,Open,Medium,2025-03-14,2025-07-21,267,112
250,Invoice not generating correctly,New,High,2025-08-25,,459,231
251,Account deactivated unexpectedly,In Progress,Low,2025-05-01,2025-04-03,731,25
252,Notification emails not being sent,Closed,Low,2025-05-31,,74,241
253,Data sync delay between systems,On Hold,Low,2025-06-06,2025-02-18,570,128
254,Trial upgrade not processing,Closed,High,2025-03-30,,550,234
255,Integration with Salesforce failing,Open,Medium,2025-02-15,2025-01-04,161,135
256,Unable to log in with SSO,New,High,2025-05-17,2025-05-08,34,118
257,Integration with Salesforce failing,Open,High,2025-07-21,,777,148
258,Trial upgrade not processing,In Progress,Low,2025-04-13,,12,24
259,Slow page load times in app,On Hold,High,2025-02-11,2025-01-19,741,150
260,Notification emails not being sent,New,Medium,2025-01-25,2025-05-29,664,53
261,Duplicate records in database,New,Low,2025-07-04,,158,134
262,Notification emails not being sent,Closed,Medium,2025-02-24,,798,187
263,Duplicate records in database,On Hold,High,2025-02-08,2025-08-09,386,3
264,Notification emails not being sent,In Progress,High,2025-08-01,,186,149
265,API request returning 500 error,On Hold,High,2025-07-24,2025-01-14,298,3
266,Trial upgrade not processing,On Hold,High,2025-08-20,2025-08-23,749,216
267,Invoice not generating correctly,New,Low,2025-08-23,2025-05-08,203,294
268,Error exporting reports,Closed,Medium,2025-04-30,,365,94
269,Email sync not working,New,High,2025-03-11,2025-01-21,151,169
270,Trial upgrade not processing,New,Low,2025-02-19,2025-08-06,916,183
271,Broken link in help center,Closed,High,2025-07-04,2025-08-20,524,237
272,Slow page load times in app,Closed,High,2025-02-25,2025-01-28,13,55
273,Two-factor authentication setup failing,In Progress,High,2025-02-01,,959,221
274,API request returning 500 error,Closed,Low,2025-07-13,,247,141
275,API request returning 500 error,In Progress,High,2025-01-22,,8,42
276,Broken link in help center,New,Low,2025-07-03,,274,283
277,Slow page load times in app,Closed,High,2025-05-22,2025-02-03,217,163
278,UI misalignment on Chrome,On Hold,High,2025-06-28,2025-01-10,250,253
279,Broken link in help center,New,Medium,2025-08-21,,244,276
280,UI misalignment on Chrome,On Hold,Medium,2025-07-12,,899,287
281,UI misalignment on Chrome,Closed,Low,2025-06-21,2025-04-05,830,130
282,Two-factor authentication setup failing,On Hold,Medium,2025-05-16,2025-01-25,143,42
283,Trial upgrade not processing,In Progress,High,2025-02-25,2025-03-10,276,59
284,Notification emails not being sent,On Hold,Medium,2025-03-25,2025-07-06,711,93
285,Data sync delay between systems,On Hold,Low,2025-05-23,2025-05-23,746,75
286,Two-factor authentication setup failing,Open,High,2025-05-08,,988,175
287,UI not loading correctly on dashboard,New,High,2025-05-24,2025-07-22,475,268
288,Custom field not saving properly,On Hold,Medium,2025-07-31,,60,157
289,Permissions not updating for new user,Open,High,2025-02-05,,620,222
290,UI misalignment on Chrome,Open,Low,2025-03-17,,638,300
291,Workflow automation not triggering,On Hold,High,2025-07-15,,519,218
292,Integration with Salesforce failing,On Hold,High,2025-03-15,2025-04-12,188,265
293,Duplicate records in database,New,High,2025-03-09,2025-03-02,528,1
294,UI misalignment on Chrome,In Progress,Medium,2025-02-23,2025-07-21,978,136
295,Notification emails not being sent,On Hold,Medium,2025-05-20,,286,78
296,Two-factor authentication setup failing,Closed,Low,2025-02-17,,231,7
297,UI misalignment on Chrome,Open,Medium,2025-02-03,2025-01-28,266,218
298,UI misalignment on Chrome,New,Medium,2025-04-24,,623,130
299,Mobile app crashes on login,On Hold,High,2025-08-08,2025-08-17,748,79
300,Data sync delay between systems,New,Low,2025-07-29,2025-03-11,632,55
301,Notification emails not being sent,Open,High,2025-04-02,2025-05-11,368,278
302,Broken link in help center,On Hold,High,2025-06-28,2025-01-03,444,56
303,Duplicate records in database,In Progress,High,2025-04-24,,302,95
304,Invoice not generating correctly,On Hold,Low,2025-05-05,2025-07-29,585,183
305,UI misalignment on Chrome,On Hold,Low,2025-06-04,2025-01-10,839,110
306,Duplicate records in database,Open,High,2025-05-18,2025-08-05,385,196
307,UI misalignment on Chrome,New,Medium,2025-06-07,2025-07-10,110,167
308,Duplicate records in database,Open,Low,2025-04-11,2025-05-11,746,243
309,UI not loading correctly on dashboard,Open,High,2025-06-07,2025-07-03,360,97
310,Duplicate records in database,Open,High,2025-08-31,,67,283
311,Broken link in help center,New,High,2025-08-16,,505,106
312,Two-factor authentication setup failing,Closed,High,2025-03-06,2025-02-12,164,145
313,Permissions not updating for new user,Closed,High,2025-05-21,2025-04-06,65,209
314,Slow page load times in app,New,High,2025-06-28,,404,147
315,Error exporting reports,New,High,2025-05-27,2025-04-07,493,60
316,Email sync not working,Closed,Medium,2025-06-25,2025-06-07,412,57
317,Email sync not working,Closed,Medium,2025-02-15,,785,61
318,API request returning 500 error,Closed,Low,2025-03-14,,322,56
319,Integration with Salesforce failing,In Progress,Medium,2025-07-23,,378,97
320,Mobile app crashes on login,Closed,Low,2025-06-16,,191,278
321,Account deactivated unexpectedly,On Hold,High,2025-05-24,,137,147
322,Notification emails not being sent,Open,High,2025-05-31,,805,76
323,Invoice not generating correctly,Closed,Medium,2025-04-16,2025-04-01,627,170
324,Duplicate records in database,New,Low,2025-03-29,2025-06-14,240,194
325,Two-factor authentication setup failing,Open,High,2025-01-12,,515,90
326,Slow page load times in app,On Hold,Low,2025-05-14,,892,221
327,Account deactivated unexpectedly,In Progress,High,2025-04-18,,695,16
328,Invoice not generating correctly,On Hold,High,2025-03-19,2025-07-01,825,178
329,Email sync not working,In Progress,Medium,2025-07-09,,306,74
330,Unable to log in with SSO,Open,Low,2025-06-29,,32,28
331,Account deactivated unexpectedly,Closed,Medium,2025-04-08,,143,9
332,Broken link in help center,New,Low,2025-07-17,,805,115
333,Mobile app crashes on login,In Progress,Medium,2025-05-05,2025-03-12,628,92
334,Data sync delay between systems,In Progress,Low,2025-04-12,,169,141
335,Unable to log in with SSO,In Progress,High,2025-04-11,2025-02-07,870,111
336,Notification emails not being sent,In Progress,High,2025-01-04,2025-08-27,113,219
337,Custom field not saving properly,On Hold,Low,2025-04-12,,809,184
338,Notification emails not being sent,New,High,2025-07-22,2025-07-19,792,42
339,Account deactivated unexpectedly,On Hold,High,2025-01-10,,578,58
340,Duplicate records in database,New,Low,2025-02-09,,609,69
341,UI misalignment on Chrome,In Progress,Medium,2025-07-17,2025-06-19,530,3
342,Custom field not saving properly,Open,Medium,2025-03-26,2025-02-21,795,62
343,Trial upgrade not processing,In Progress,Medium,2025-05-27,2025-05-02,527,130
344,Account deactivated unexpectedly,On Hold,Medium,2025-06-23,,477,79
345,UI not loading correctly on dashboard,Closed,Medium,2025-03-19,2025-07-27,391,16
346,Permissions not updating for new user,In Progress,Medium,2025-01-12,2025-01-23,221,172
347,Trial upgrade not processing,In Progress,Low,2025-04-04,2025-06-09,35,39
348,Data sync delay between systems,In Progress,Low,2025-03-24,2025-05-04,371,254
349,Email sync not working,New,Medium,2025-06-25,2025-07-01,955,270
350,Slow page load times in app,In Progress,Medium,2025-04-26,2025-05-26,728,90
351,Unable to log in with SSO,Open,High,2025-08-21,2025-05-03,37,287
352,Notification emails not being sent,Closed,Low,2025-04-27,,415,106
353,Email sync not working,On Hold,High,2025-08-29,2025-01-08,953,108
354,Notification emails not being sent,In Progress,Low,2025-04-15,,578,55
355,API request returning 500 error,Closed,Low,2025-01-07,,801,21
356,Unable to log in with SSO,In Progress,Low,2025-05-22,2025-05-08,480,297
357,Invoice not generating correctly,Open,High,2025-03-29,,285,53
358,Trial upgrade not processing,Closed,Low,2025-05-22,,357,9
359,Mobile app crashes on login,Open,Medium,2025-06-03,2025-07-14,65,58
360,Data sync delay between systems,In Progress,High,2025-05-11,,256,218
361,Workflow automation not triggering,New,Medium,2025-02-02,2025-05-01,53,17
362,API request returning 500 error,In Progress,High,2025-03-06,,85,233
363,Broken link in help center,Closed,High,2025-03-22,2025-01-03,221,160
364,Broken link in help center,New,Low,2025-07-21,,964,40
365,UI not loading correctly on dashboard,New,Medium,2025-06-24,2025-04-08,825,105
366,Integration with Salesforce failing,New,Medium,2025-07-07,2025-01-24,676,101
367,Slow page load times in app,Closed,Medium,2025-04-23,2025-03-23,820,263
368,Two-factor authentication setup failing,In Progress,Medium,2025-05-13,2025-07-20,325,107
369,Mobile app crashes on login,Closed,High,2025-05-19,2025-05-10,450,269
370,Slow page load times in app,Closed,Medium,2025-02-28,,306,247
371,Permissions not updating for new user,On Hold,Low,2025-04-26,,612,275
372,Duplicate records in database,Closed,Medium,2025-06-29,,493,265
373,UI misalignment on Chrome,In Progress,High,2025-05-23,,97,27
374,Slow page load times in app,New,Medium,2025-01-29,2025-07-26,618,112
375,Unable to log in with SSO,On Hold,Medium,2025-03-26,,580,80
376,Slow page load times in app,In Progress,Low,2025-05-22,,247,233
377,Invoice not generating correctly,Closed,High,2025-06-28,,558,253
378,Trial upgrade not processing,Open,High,2025-08-10,2025-02-17,88,48
379,Data sync delay between systems,Open,Medium,2025-07-15,2025-03-08,409,189
380,Two-factor authentication setup failing,New,Low,2025-07-05,2025-01-24,480,181
381,UI misalignment on Chrome,In Progress,High,2025-06-08,,52,266
382,Account deactivated unexpectedly,Open,Medium,2025-06-23,,448,292
383,Mobile app crashes on login,New,High,2025-07-07,,408,192
384,Email sync not working,Open,High,2025-01-18,2025-04-27,384,230
385,Email sync not working,New,Medium,2025-04-26,2025-02-25,174,43
386,Invoice not generating correctly,New,Low,2025-01-14,2025-01-06,936,104
387,Error exporting reports,Open,Low,2025-07-04,2025-08-01,249,126
388,Trial upgrade not processing,On Hold,Low,2025-02-25,2025-04-27,584,143
389,Error exporting reports,Open,Medium,2025-06-21,2025-02-18,144,1
390,Broken link in help center,On Hold,High,2025-06-25,,188,253
391,Notification emails not being sent,Closed,High,2025-04-18,,997,143
392,UI not loading correctly on dashboard,On Hold,Low,2025-07-27,2025-03-30,920,214
393,Slow page load times in app,On Hold,Low,2025-05-16,2025-07-02,601,192
394,Slow page load times in app,In Progress,Low,2025-08-14,2025-05-24,468,116
395,Error exporting reports,On Hold,Medium,2025-03-02,,155,8
396,Unable to log in with SSO,On Hold,Medium,2025-08-25,2025-01-03,906,69
397,Integration with Salesforce failing,New,Medium,2025-07-23,,174,155
398,UI misalignment on Chrome,Closed,Medium,2025-01-15,,876,101
399,Trial upgrade not processing,On Hold,Low,2025-02-01,,273,43
400,Account deactivated unexpectedly,In Progress,Low,2025-05-06,,349,193
401,Broken link in help center,On Hold,Low,2025-01-12,2025-02-05,771,235
402,Permissions not updating for new user,Closed,High,2025-08-08,,417,100
403,Trial upgrade not processing,On Hold,Low,2025-03-12,2025-04-27,607,17
404,Email sync not working,New,Medium,2025-06-10,,538,25
